review_id,original_id,page,position_on_page,sentence,option_A_original_version,option_A_original_file,option_B_original_version,option_B_original_file,option_A_sequence,option_B_sequence,option_A_risk,option_B_risk,option_A_sensitivity,option_B_sensitivity
item_044,ex_044,5,4,Someone hit me.,Version A,gallery.html,Version B,gallery(1).html,angry at someone [HIGH-RISK] | me neither! [HIGH-RISK],angry at someone [HIGH-RISK] | hit 5 [HIGH-RISK] | me neither! [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_045,ex_045,5,5,I am not safe.,Version A,gallery.html,Version B,gallery(1).html,self-image strong [HIGH-RISK] | safe [HIGH-RISK],open [HIGH-RISK] | help [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_046,ex_046,5,6,I need help now.,Version A,gallery.html,Version B,gallery(1).html,help | now,help | now,low,low,none,none
item_047,ex_047,5,7,Do not touch me there.,Version A,gallery.html,Version B,gallery(1).html,do not lie [HIGH-RISK] | touch unwanted [HIGH-RISK] | me neither! [HIGH-RISK] | Who's there [HIGH-RISK],No [HIGH-RISK] | don't touch! [HIGH-RISK] | me neither! [HIGH-RISK] | Who's there [HIGH-RISK],medium,high,age_appropriate_body_education,high_risk_support
item_048,ex_048,5,8,My private parts hurt.,Version A,gallery.html,Version B,gallery(1).html,i [HIGH-RISK] | neck [HIGH-RISK] | pain [HIGH-RISK],private [HIGH-RISK] | pain [HIGH-RISK],medium,medium,age_appropriate_body_education,age_appropriate_body_education
item_049,ex_049,5,9,I am scared to go home.,Version B,gallery(1).html,Version A,gallery.html,ashamed 4 [HIGH-RISK] | Home [HIGH-RISK],i [HIGH-RISK] | sad [HIGH-RISK] | to reside 1 [HIGH-RISK],high,medium,high_risk_support,high_risk_support
item_050,ex_050,5,10,Someone touched me.,Version B,gallery(1).html,Version A,gallery.html,Person [HIGH-RISK] | don't touch! [HIGH-RISK] | me neither! [HIGH-RISK],angry at someone [HIGH-RISK] | touch [HIGH-RISK] | me neither! [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_051,ex_051,6,1,I need a safe adult.,Version A,gallery.html,Version B,gallery(1).html,i [HIGH-RISK] | need toilet [HIGH-RISK] | adult [HIGH-RISK],adults 1 [HIGH-RISK] | help [HIGH-RISK],medium,high,age_appropriate_body_education,high_risk_support
item_052,ex_052,6,2,I want the counselor.,Version B,gallery(1).html,Version A,gallery.html,counsellor (female) [HIGH-RISK] | to want,i | to want | counselor,low,low,none,none
item_053,ex_053,6,3,I cannot breathe well.,Version A,gallery.html,Version B,gallery(1).html,i [HIGH-RISK] | burn [HIGH-RISK],chest 1 [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_054,ex_054,6,4,My chest hurts.,Version B,gallery(1).html,Version A,gallery.html,medicine chest [HIGH-RISK] | pain [HIGH-RISK],happy 2 [HIGH-RISK] | medicine chest | hurt,medium,low,age_appropriate_body_education,none
item_055,ex_055,6,5,My head hurts after I fell.,Version A,gallery.html,Version B,gallery(1).html,head [HIGH-RISK] | pain [HIGH-RISK] | fall [HIGH-RISK],head [HIGH-RISK] | pain [HIGH-RISK] | Follow Fall Back [HIGH-RISK],low,medium,age_appropriate_body_education,none
item_056,ex_056,6,6,I think I am in danger.,Version A,gallery.html,Version B,gallery(1).html,i [HIGH-RISK] | break [HIGH-RISK],break [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_057,ex_057,6,7,I feel unsafe with that person.,Version B,gallery(1).html,Version A,gallery.html,open [HIGH-RISK] | Person [HIGH-RISK],i [HIGH-RISK] | to feel sick 1 [HIGH-RISK] | Person [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_058,ex_058,6,8,I need to leave this room now.,Version B,gallery(1).html,Version A,gallery.html,wait [HIGH-RISK] | art room | now,i | need toilet | break | art room | now,low,low,none,none
item_059,ex_059,6,9,Someone is threatening me online.,Version A,gallery.html,Version B,gallery(1).html,angry at someone [HIGH-RISK] | to make angry 2 [HIGH-RISK] | self-image strong [HIGH-RISK] | open [HIGH-RISK],break [HIGH-RISK] | open [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_060,ex_060,6,10,I saw a weapon.,Version A,gallery.html,Version B,gallery(1).html,i [HIGH-RISK] | to see 2 [HIGH-RISK] | General [HIGH-RISK],to see 2 [HIGH-RISK] | body [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_061,ex_061,7,1,I want to hurt myself.,Version A,gallery.html,Version B,gallery(1).html,i [HIGH-RISK] | to want [HIGH-RISK] | hurt oneself [HIGH-RISK],hurt oneself [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_062,ex_062,7,2,I want to die.,Version B,gallery(1).html,Version A,gallery.html,to cut oneself [HIGH-RISK] | help [HIGH-RISK],i [HIGH-RISK] | to want [HIGH-RISK] | die (singular) dice (plural) [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_063,ex_063,7,3,My friend wants to die.,Version A,gallery.html,Version B,gallery(1).html,friend [HIGH-RISK] | hands [HIGH-RISK],friend [HIGH-RISK] | die (singular) dice (plural) [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_064,ex_064,7,4,My friend wants to hurt themself.,Version A,gallery.html,Version B,gallery(1).html,friend [HIGH-RISK] | to want [HIGH-RISK] | self-image strong [HIGH-RISK],friend [HIGH-RISK] | self - steem [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_065,ex_065,7,5,Please stay with me.,Version A,gallery.html,Version B,gallery(1).html,fire stay calm 1 | me neither!,fire stay calm 1 | me neither!,low,low,none,none
item_066,ex_066,7,6,Please call for help.,Version B,gallery(1).html,Version A,gallery.html,call [HIGH-RISK] | help [HIGH-RISK],call | help,medium,low,none,none
item_067,ex_067,7,7,I need privacy and support.,Version A,gallery.html,Version B,gallery(1).html,need toilet | break [HIGH-RISK] | support teacher,break [HIGH-RISK] | support teacher,low,low,none,none
item_068,ex_068,7,8,I need to talk to a safe adult.,Version A,gallery.html,Version B,gallery(1).html,need toilet [HIGH-RISK] | talk [HIGH-RISK] | saddles 1 [HIGH-RISK],talk [HIGH-RISK] | adults 1 [HIGH-RISK],medium,high,high_risk_support,high_risk_support
item_069,ex_069,7,9,This is an emergency.,Version A,gallery.html,Version B,gallery(1).html,emergency exit [HIGH-RISK],help [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_070,ex_070,7,10,Please do not tell the whole class.,Version B,gallery(1).html,Version A,gallery.html,test tell answer | class sit,please | do not lie | test tell answer | Whole,low,low,none,none
item_071,ex_071,8,1,A student posted that they want to kill themselves after school.,Version B,gallery(1).html,Version A,gallery.html,student [HIGH-RISK] | to cut oneself [HIGH-RISK] | school [HIGH-RISK],student [HIGH-RISK] | post office [HIGH-RISK] | hands [HIGH-RISK] | school [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_072,ex_072,8,2,A classmate said they plan to hurt another student.,Version B,gallery(1).html,Version A,gallery.html,student 2 [HIGH-RISK] | hurt oneself [HIGH-RISK] | student 2 [HIGH-RISK],student 2 [HIGH-RISK] | hurt oneself [HIGH-RISK] | touch another [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_073,ex_073,8,3,Someone sent threatening messages to a student online.,Version B,gallery(1).html,Version A,gallery.html,to make angry 3 [HIGH-RISK] | student [HIGH-RISK] | open [HIGH-RISK],angry at someone [HIGH-RISK] | write [HIGH-RISK] | email [HIGH-RISK] | student [HIGH-RISK] | open [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_074,ex_074,8,4,A student reported sexual messages from an older person.,Version B,gallery(1).html,Version A,gallery.html,student [HIGH-RISK] | body massage [HIGH-RISK] | Person [HIGH-RISK] | medical report [HIGH-RISK],student [HIGH-RISK] | medical report [HIGH-RISK] | body massage [HIGH-RISK] | Person [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_075,ex_075,8,5,A student said they were touched in a way that felt wrong.,Version A,gallery.html,Version B,gallery(1).html,touch [HIGH-RISK] | wrong [HIGH-RISK],student [HIGH-RISK] | don't touch! [HIGH-RISK] | right or wrong [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_076,ex_076,8,6,A student wrote that they are afraid to go home tonight.,Version A,gallery.html,Version B,gallery(1).html,sadness [HIGH-RISK] | home 1 [HIGH-RISK] | match [HIGH-RISK],ashamed 4 [HIGH-RISK] | Home [HIGH-RISK] | match [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_077,ex_077,8,7,A student reported being hit by a caregiver.,Version A,gallery.html,Version B,gallery(1).html,student [HIGH-RISK] | medical report [HIGH-RISK] | hit 5 [HIGH-RISK] | counselor [HIGH-RISK],student [HIGH-RISK] | counsellor (female) [HIGH-RISK] | hit 5 [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_078,ex_078,8,8,A student said someone keeps asking for private pictures.,Version B,gallery(1).html,Version A,gallery.html,student [HIGH-RISK] | angry at someone [HIGH-RISK] | asking for help [HIGH-RISK] | pictures [HIGH-RISK],student [HIGH-RISK] | angry at someone [HIGH-RISK] | asking for help [HIGH-RISK] | pictures [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_079,ex_079,8,9,A student wrote that they feel hopeless and want everything to end.,Version A,gallery.html,Version B,gallery(1).html,sadness [HIGH-RISK] | harm [HIGH-RISK],sadness [HIGH-RISK] | to want [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_080,ex_080,8,10,A student said they do not want to be alive anymore.,Version A,gallery.html,Version B,gallery(1).html,student [HIGH-RISK] | say goodbye sad [HIGH-RISK] | hands [HIGH-RISK],student [HIGH-RISK] | I do not want [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_081,ex_081,9,1,A student described being threatened in the hallway.,Version A,gallery.html,Version B,gallery(1).html,student [HIGH-RISK] | to make angry 3 [HIGH-RISK] | bathroom [HIGH-RISK],student [HIGH-RISK] | break [HIGH-RISK] | bathroom [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_082,ex_082,9,2,A student reported repeated bullying with threats of violence.,Version A,gallery.html,Version B,gallery(1).html,student [HIGH-RISK] | medical report [HIGH-RISK] | odd 2 [HIGH-RISK] | counselor [HIGH-RISK] | thinking of suicide [HIGH-RISK],homework [HIGH-RISK] | break [HIGH-RISK] | wars [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_083,ex_083,9,3,A student said someone shared explicit pictures at school.,Version B,gallery(1).html,Version A,gallery.html,pictures [HIGH-RISK] | open [HIGH-RISK] | school [HIGH-RISK],angry at someone [HIGH-RISK] | write [HIGH-RISK] | pictures [HIGH-RISK] | school [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_084,ex_084,9,4,A student reported fear after being followed by another student.,Version A,gallery.html,Version B,gallery(1).html,student [HIGH-RISK] | medical report [HIGH-RISK] | sadness [HIGH-RISK] | last 1 [HIGH-RISK] | touch another [HIGH-RISK],student [HIGH-RISK] | hurt [HIGH-RISK] | last 1 [HIGH-RISK] | student 2 [HIGH-RISK],high,medium,high_risk_support,high_risk_support
item_085,ex_085,9,5,A student said they are being pressured to do sexual things.,Version A,gallery.html,Version B,gallery(1).html,student [HIGH-RISK] | counselor [HIGH-RISK] | adult [HIGH-RISK],not calm under pressure [HIGH-RISK] | high [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_086,ex_086,9,6,A student said they were locked in a room at home.,Version A,gallery.html,Version B,gallery(1).html,student [HIGH-RISK] | bathroom door locked [HIGH-RISK] | art room [HIGH-RISK] | Home [HIGH-RISK],student [HIGH-RISK] | bathroom door locked [HIGH-RISK] | art room [HIGH-RISK] | Home [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_087,ex_087,9,7,A student wrote that no adult believes them about being hurt.,Version B,gallery(1).html,Version A,gallery.html,student [HIGH-RISK] | male [HIGH-RISK] | hurt [HIGH-RISK] | extra work not happy [HIGH-RISK],student [HIGH-RISK] | No [HIGH-RISK] | hurt [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_088,ex_088,9,8,A student said they might hurt themselves after class.,Version A,gallery.html,Version B,gallery(1).html,student [HIGH-RISK] | harm [HIGH-RISK] | maths class [HIGH-RISK],student [HIGH-RISK] | self - steem [HIGH-RISK] | maths class [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_089,ex_089,9,9,A student said another person might bring a weapon tomorrow.,Version A,gallery.html,Version B,gallery(1).html,student [HIGH-RISK] | write [HIGH-RISK] | touch another [HIGH-RISK] | to have [HIGH-RISK] | break [HIGH-RISK] | General [HIGH-RISK] | time [HIGH-RISK],angry at someone [HIGH-RISK] | to have [HIGH-RISK] | break [HIGH-RISK] | body [HIGH-RISK] | time [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_090,ex_090,9,10,A student wrote that they feel trapped and unsafe.,Version B,gallery(1).html,Version A,gallery.html,to squeeze 1 [HIGH-RISK] | open [HIGH-RISK],to feel sick 1 [HIGH-RISK] | safe [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_091,ex_091,10,1,A student said someone keeps touching their body without permission.,Version A,gallery.html,Version B,gallery(1).html,Person [HIGH-RISK] | touch [HIGH-RISK] | body [HIGH-RISK] | No [HIGH-RISK],touching intimate female [HIGH-RISK] | No [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_092,ex_092,10,2,A student reported that a friend is talking about suicide.,Version B,gallery(1).html,Version A,gallery.html,friend [HIGH-RISK] | to cut oneself [HIGH-RISK],friend [HIGH-RISK] | talk [HIGH-RISK] | suicide 1 [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_093,ex_093,10,3,A student said they feel panic and cannot stay safe alone.,Version A,gallery.html,Version B,gallery(1).html,help [HIGH-RISK] | fire stay calm [HIGH-RISK] | alone 1 [HIGH-RISK],sad [HIGH-RISK] | alone 1 [HIGH-RISK] | I need help [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_094,ex_094,10,4,A student reported coercive sexual language in a group chat.,Version B,gallery(1).html,Version A,gallery.html,medical report [HIGH-RISK] | female lawyer [HIGH-RISK] | group conversation [HIGH-RISK],student [HIGH-RISK] | medical report [HIGH-RISK] | understand language [HIGH-RISK] | chat [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_095,ex_095,10,5,A student said they are afraid of a specific adult.,Version B,gallery(1).html,Version A,gallery.html,student [HIGH-RISK] | ashamed 4 [HIGH-RISK] | male [HIGH-RISK],student [HIGH-RISK] | ashamed 4 [HIGH-RISK] | adult [HIGH-RISK],high,medium,high_risk_support,high_risk_support
item_096,ex_096,10,6,A student wrote that they are being blackmailed with images.,Version B,gallery(1).html,Version A,gallery.html,student [HIGH-RISK] | to give money to beggars 1 [HIGH-RISK] | write [HIGH-RISK],student [HIGH-RISK] | to give money to beggars 1 [HIGH-RISK] | write [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_097,ex_097,10,7,A student reported threats related to their identity.,Version B,gallery(1).html,Version A,gallery.html,student [HIGH-RISK] | match [HIGH-RISK] | body [HIGH-RISK],student [HIGH-RISK] | medical report [HIGH-RISK] | break [HIGH-RISK] | body [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_098,ex_098,10,8,A student said they were forced to hide an injury.,Version B,gallery(1).html,Version A,gallery.html,student [HIGH-RISK] | help [HIGH-RISK] | help [HIGH-RISK] | injury [HIGH-RISK],student [HIGH-RISK] | counselor [HIGH-RISK] | help [HIGH-RISK] | injury [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_099,ex_099,10,9,A student said they are scared because someone knows where they live.,Version A,gallery.html,Version B,gallery(1).html,ashamed 4 [HIGH-RISK] | angry at someone [HIGH-RISK] | to know [HIGH-RISK] | supported employment where [HIGH-RISK],ashamed 4 [HIGH-RISK] | angry at someone [HIGH-RISK] | address book [HIGH-RISK] | supported employment where [HIGH-RISK],high,high,high_risk_support,high_risk_support
item_100,ex_100,10,10,A student reported an emergency and asked for immediate adult help.,Version B,gallery(1).html,Version A,gallery.html,help [HIGH-RISK] | help [HIGH-RISK] | male [HIGH-RISK] | now [HIGH-RISK],emergency exit [HIGH-RISK] | date [HIGH-RISK] | adult [HIGH-RISK],high,high,high_risk_support,high_risk_support
